date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3,raw_text,clean_text,len_raw,len_clean
2014-01-10,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66%,Dry Weather Impacts Soybean Yields in Goias,Freight Rates in Brazil Surge as Soy Harvesting Gets under Way,Embrapa to Conduct Field Days Promoting Conventional Soybeans,Brazil Soy Farmers Generally Successful Controlling Insects ,Vale Indicates a Desire to sell its Potassium Mine in Argentina,First New Crop Soybeans Leave Brazil Destined for China,Northern Export Routes being developed for Brazilian Soybeans,Soybean Harvest Underway in Brazil's two Top Producing States,Reaction to Last Week's USDA Reports,"13,12",0,0,Brazil Soybeans are 93% GMO Corn is 82% and Cotton is 66% Reaction to Last Week's USDA Reports Dry Weather Impacts Soybean Yields in Goias Freight Rates in Brazil Surge as Soy Harvesting Gets under Way Embrapa to Conduct Field Days Promoting Conventional Soybeans Brazil Soy Farmers Generally Successful Controlling Insects Vale Indicates a Desire to sell its Potassium Mine in Argentina First New Crop Soybeans Leave Brazil Destined for China Northern Export Routes being developed for Brazilian Soybeans Soybean Harvest Underway in Brazil's two Top Producing States,brazil soybean gmo corn cotton reaction last week usda report dry weather impact soybean yield goias freight rate brazil surge soy harvesting get embrapa conduct field day promoting conventional soybean brazil soy farmer generally successful controlling insect vale indicates desire sell potassium mine argentina first crop soybean leave brazil destined china northern export route developed brazilian soybean soybean harvest underway brazil top producing state,88,64
2014-02-10,Dryer Weather Allows Advance of Brazil Soybean Harvest,Safrinha Soybeans Increase Nematode Populations,Secretary of Agriculture Downgrades Parana's Soy Estimate,High Humidity Causes Problems for Brazilian Soybean Harvest,"More Traffic Woes for Brazil's ""Soybean Highway""",Wet Weather Delays Soy Harvest and Corn Planting in Brazil,Conab Trims Brazilian Soybean Estimate,,,,"12,97",0,-1,"Dryer Weather Allows Advance of Brazil Soybean Harvest Safrinha Soybeans Increase Nematode Populations Secretary of Agriculture Downgrades Parana's Soy Estimate High Humidity Causes Problems for Brazilian Soybean Harvest More Traffic Woes for Brazil's ""Soybean Highway"" Wet Weather Delays Soy Harvest and Corn Planting in Brazil Conab Trims Brazilian Soybean Estimate",dryer weather allows advance brazil soybean harvest safrinha soybean increase nematode population secretary agriculture downgrade parana soy estimate high humidity cause problem brazilian soybean harvest traffic woe brazil soybean highway wet weather delay soy harvest corn planting brazil conab trim brazilian soybean estimate,50,43
2014-03-10,Argentine Farmers still holding over 7 Million Tons of Soybeans,Brazilian Corn Producers are Slow Sellers Expecting Higher Prices,Brazil on track for Record Soybean Exports,Brazil and Paraguay to Plant 1.3 mha of Safrinha Soybeans,Wheat Production May Move into Central Brazil,Argentine Farmers Still Hold 5 mt of Last Year's Soybean Crop,Brazil Soybean Exports off to a Faster Start than Last Year,Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years,Uruguay Farmers Continue to Increase their Soybean Production,"Brazil's ""Soybean Highway"" (BR-163) now Officially a Toll Road","13,77",1,1,"Argentine Farmers still holding over 7 Million Tons of Soybeans Brazil's ""Soybean Highway"" (BR-163) now Officially a Toll Road Brazilian Corn Producers are Slow Sellers Expecting Higher Prices Brazil on track for Record Soybean Exports Brazil and Paraguay to Plant 1.3 mha of Safrinha Soybeans Wheat Production May Move into Central Brazil Argentine Farmers Still Hold 5 mt of Last Year's Soybean Crop Brazil Soybean Exports off to a Faster Start than Last Year Corn Acreage Grew Faster than Soy in Mato Grosso Last 6 Years Uruguay Farmers Continue to Increase their Soybean Production",argentine farmer still holding million ton soybean brazil soybean highway officially toll road brazilian corn producer slow seller expecting higher price brazil track record soybean export brazil paraguay plant mha safrinha soybean wheat production move central brazil argentine farmer still hold last year soybean crop brazil soybean export faster start last corn acreage grew faster soy mato grosso last year uruguay farmer continue increase soybean production,94,66
2014-04-09,Corn Earworms Bridge Gap between Soy Crops Surviving on Millet,USDA's 2014 U.S. Total Acreage Numbers may be Too Small,Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn,Amazon River Route Inaugurated for Brazilian Soybean Exports,Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates,Developing El Nino could Benefit Brazil's Corn and Soybean Crops,Grain Transport Costs in Brazil are 4-5 Times higher than in U.S.,Wheat Production in Argentina and Brazil could Rebound in 2014,"""Brazil Cost"" was Main Theme of Seminar in Brazilian Congress",Brazil May Increase Ethanol Blend in Gasoline from 25% to 27.5%,"14,32",1,1,"Corn Earworms Bridge Gap between Soy Crops Surviving on Millet Brazil May Increase Ethanol Blend in Gasoline from 25% to 27.5% USDA's 2014 U.S. Total Acreage Numbers may be Too Small Brazilian Farmers are slow Sellers of their 2014 Safrinha Corn Amazon River Route Inaugurated for Brazilian Soybean Exports Preliminary 2014 U.S. Corn and Soy Yield and Acreage Estimates Developing El Nino could Benefit Brazil's Corn and Soybean Crops Grain Transport Costs in Brazil are 4-5 Times higher than in U.S. Wheat Production in Argentina and Brazil could Rebound in 2014 ""Brazil Cost"" was Main Theme of Seminar in Brazilian Congress",corn earworms bridge gap soy crop surviving millet brazil increase ethanol blend gasoline usda total acreage number small brazilian farmer slow seller safrinha corn amazon river route inaugurated brazilian soybean export preliminary corn soy yield acreage estimate developing nino benefit brazil corn soybean crop grain transport cost brazil time higher wheat production argentina brazil rebound brazil cost main theme seminar brazilian congress,101,62
2014-05-09,El Nino could Favor Soybean and Corn Production in Brazil,Soybeans Surpass Iron Ore as Main Brazil Export thus far in 2014,Argentine Farmers are Slow Sellers of their 2013/14 Soybeans,Brazil Increases Biodiesel Blend to B7 Sites many Advantages,Corn Production Costs Higher in Mato Grosso for 2014/15,Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014,Dry Summer Weather Impacting Brazilian Sugar Production,Prohibition of Safrinha Soybeans being proposed for Mato Grosso,Mato Grosso Safrinha Corn Estimate increased slightly by Imea,Brazilian Corn Farmers are slow Sellers Exports Lag Last Year,"14,85",1,1,El Nino could Favor Soybean and Corn Production in Brazil Brazilian Corn Farmers are slow Sellers Exports Lag Last Year Soybeans Surpass Iron Ore as Main Brazil Export thus far in 2014 Argentine Farmers are Slow Sellers of their 2013/14 Soybeans Brazil Increases Biodiesel Blend to B7 Sites many Advantages Corn Production Costs Higher in Mato Grosso for 2014/15 Biodiesel in Brazil will Increase to 7% Vegetable Oil by end of 2014 Dry Summer Weather Impacting Brazilian Sugar Production Prohibition of Safrinha Soybeans being proposed for Mato Grosso Mato Grosso Safrinha Corn Estimate increased slightly by Imea,nino favor soybean corn production brazil brazilian corn farmer slow seller export lag last soybean surpass iron ore main brazil export thus far argentine farmer slow seller soybean brazil increase biodiesel blend site many advantage corn production cost higher mato grosso biodiesel brazil increase vegetable oil end dry summer weather impacting brazilian sugar production prohibition safrinha soybean proposed mato grosso mato grosso safrinha corn estimate increased slightly imea,97,68
2014-06-11,2014/15 Brazilian Soybean and Corn Acreage and Production,2014/15 Argentine Soybean and Corn Acreage and Production,Economic Uncertainty in Argentina make Farmers slow Sellers,Domestic Corn Prices in Brazil Continue to Decline,Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois,Wetness Causes Uncertainly for June Planted Report,U.S. Corn Condition Improves Slightly while Soy Declines Slightly,90-Day Soybean Free Period now in Effect in Most of Brazil,Wheat Production Increasing in Brazil's Cerrado Region,Port of Santos Struggles while Paranagua Exports Record Soy,"14,84",0,0,2014/15 Brazilian Soybean and Corn Acreage and Production Port of Santos Struggles while Paranagua Exports Record Soy 2014/15 Argentine Soybean and Corn Acreage and Production Economic Uncertainty in Argentina make Farmers slow Sellers Domestic Corn Prices in Brazil Continue to Decline Trip Report - Iowa Minnesota S.E. South Dakota N. Illinois Wetness Causes Uncertainly for June Planted Report U.S. Corn Condition Improves Slightly while Soy Declines Slightly 90-Day Soybean Free Period now in Effect in Most of Brazil Wheat Production Increasing in Brazil's Cerrado Region,brazilian soybean corn acreage production port santos struggle paranagua export record soy argentine soybean corn acreage production economic uncertainty argentina make farmer slow seller domestic corn price brazil continue decline trip iowa minnesota south dakota illinois wetness cause uncertainly june planted corn condition improves slightly soy decline slightly soybean free period effect brazil wheat production increasing brazil cerrado region,85,59
2014-07-11,Announcement of Pepro Program Raises Corn Prices in Mato Grosso,90-day Soybean Free Period helps to Control Spread of Rust in Brazil,Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska,Brazilian Corn Farmers Petition Government for Price Assistance,Brazilian Government will Attempt to Limit Safrinha Soy Production,Corn Prices make small Rebound in Mato Grosso Brazil,Rain in Mato Grosso Complicates Soybean Eradication Efforts,Monsanto wants to Increase Corn Refuse areas in Brazil,Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil,"13,67",0,-1,Announcement of Pepro Program Raises Corn Prices in Mato Grosso Corn Prices Slump to US$ 2.27 per bushel in Mato Grosso Brazil 90-day Soybean Free Period helps to Control Spread of Rust in Brazil Trip Report-Illinois Missouri S. Iowa NE Kansas and SE Nebraska Brazilian Corn Farmers Petition Government for Price Assistance Brazilian Government will Attempt to Limit Safrinha Soy Production Corn Prices make small Rebound in Mato Grosso Brazil Rain in Mato Grosso Complicates Soybean Eradication Efforts Monsanto wants to Increase Corn Refuse areas in Brazil Low Corn Prices in Mato Grosso Good for Corn-Ethanol Production,announcement pepro program raise corn price mato grosso corn price slump per bushel mato grosso brazil soybean free period help control spread rust brazil trip reportillinois missouri iowa kansa nebraska brazilian corn farmer petition government price assistance brazilian government attempt limit safrinha soy production corn price make small rebound mato grosso brazil rain mato grosso complicates soybean eradication effort monsanto want increase corn refuse area brazil low corn price mato grosso good cornethanol production,97,74
2014-08-12,Farmers in Mato Grosso Slow Sellers of old Corn and New Soybeans,Farmers in Parana Brazil Opt for More Soybean Production,Brazil Set to Increase % Ethanol in Gasoline and Veg Oil in Biodiesel,Brazilian Farmers Plant Early Maturing Soybeans to Reduce Costs,Cost of Production Estimates for 2013/14 Growing Season in Brazil,SDS and Cloudy Weather Potential Impact on Soybean Production,Farmers in Northern Parana switching Full-season Corn to Soybeans,Pasture Conversions Source of New Soy Acreage in Central Brazil,Sugarcane Production Estimates in Brazil Continue to Move Lower,Brazilian Sugar Mills Generate Revenue by Selling Excess Electricity,"11,56",0,-1,Farmers in Mato Grosso Slow Sellers of old Corn and New Soybeans Brazilian Sugar Mills Generate Revenue by Selling Excess Electricity Farmers in Parana Brazil Opt for More Soybean Production Brazil Set to Increase % Ethanol in Gasoline and Veg Oil in Biodiesel Brazilian Farmers Plant Early Maturing Soybeans to Reduce Costs Cost of Production Estimates for 2013/14 Growing Season in Brazil SDS and Cloudy Weather Potential Impact on Soybean Production Farmers in Northern Parana switching Full-season Corn to Soybeans Pasture Conversions Source of New Soy Acreage in Central Brazil Sugarcane Production Estimates in Brazil Continue to Move Lower,farmer mato grosso slow seller old corn soybean brazilian sugar mill generate revenue selling excess electricity farmer parana brazil opt soybean production brazil set increase ethanol gasoline veg oil biodiesel brazilian farmer plant early maturing soybean reduce cost cost production estimate growing season brazil sd cloudy weather potential impact soybean production farmer northern parana switching fullseason corn soybean pasture conversion source soy acreage central brazil sugarcane production estimate brazil continue move lower,99,72
2014-09-11,Some Brazilian Soybean Producers may lose Money in 2014/15,Wet Weather Increases Concerns for Wheat in Southern Brazil,Full-Season Cotton in Brazil moved to Safrinha Replaced by Soy,Brazil's Poultry Exports Increased by Larger Volumes to Russia,Brazilian Wheat Producers are Pessimistic about Price and Quality,Lack of Uniformity in Maturing Soy Worries Brazilian Processors,Wet Weather Increases Disease Pressure in Brazilian Wheat,Low Prices Convince Brazilians to Hold Onto Their Corn,2014/15 Soybean Planting off to a Fast Start in Brazil,Live Rust Spores Found on Volunteer Soybeans in Mato Grosso,"10,69",0,-1,Some Brazilian Soybean Producers may lose Money in 2014/15 Live Rust Spores Found on Volunteer Soybeans in Mato Grosso Wet Weather Increases Concerns for Wheat in Southern Brazil Full-Season Cotton in Brazil moved to Safrinha Replaced by Soy Brazil's Poultry Exports Increased by Larger Volumes to Russia Brazilian Wheat Producers are Pessimistic about Price and Quality Lack of Uniformity in Maturing Soy Worries Brazilian Processors Wet Weather Increases Disease Pressure in Brazilian Wheat Low Prices Convince Brazilians to Hold Onto Their Corn 2014/15 Soybean Planting off to a Fast Start in Brazil,brazilian soybean producer lose money live rust spore found volunteer soybean mato grosso wet weather increase concern wheat southern brazil fullseason cotton brazil moved safrinha replaced soy brazil poultry export increased larger volume russia brazilian wheat producer pessimistic price quality lack uniformity maturing soy worry brazilian processor wet weather increase disease pressure brazilian wheat low price convince brazilian hold onto corn soybean planting fast start brazil,92,66
2014-10-10,Delayed Soy Planting to Result in Less Corn Acreage in Mato Grosso,Slow Forward Selling of Soy in Brazil Old Crop Corn Sales Increase,Brazilian Farmers Planting Soybeans at Half the Average Pace,Brazil's Soybeans being Planting at Half the Normal Pace,Argentine Soybean and Corn Acreage is Point of Disagreement,Extension of Soybean-Free Period in Mato Grosso Meets Resistance,Corn-Based Ethanol on the Increase in the Center-West of Brazil,Soy Planting in Mato Grosso Slowed due to Hot and Dry Conditions,Soybean Planting in Northern Parana halted by Dry Conditions,Imports Account for 75% of Fertilizer Sales in Brazil,"9,45",0,-1,Delayed Soy Planting to Result in Less Corn Acreage in Mato Grosso Imports Account for 75% of Fertilizer Sales in Brazil Slow Forward Selling of Soy in Brazil Old Crop Corn Sales Increase Brazilian Farmers Planting Soybeans at Half the Average Pace Brazil's Soybeans being Planting at Half the Normal Pace Argentine Soybean and Corn Acreage is Point of Disagreement Extension of Soybean-Free Period in Mato Grosso Meets Resistance Corn-Based Ethanol on the Increase in the Center-West of Brazil Soy Planting in Mato Grosso Slowed due to Hot and Dry Conditions Soybean Planting in Northern Parana halted by Dry Conditions,delayed soy planting result less corn acreage mato grosso import account fertilizer sale brazil slow forward selling soy brazil old crop corn sale increase brazilian farmer planting soybean half average pace brazil soybean planting half normal pace argentine soybean corn acreage point disagreement extension soybeanfree period mato grosso meet resistance cornbased ethanol increase centerwest brazil soy planting mato grosso slowed due hot dry condition soybean planting northern parana halted dry condition,100,71
